stateFlagCode,state,StateCapitolBuildingName,StateCapitolAddress,StateCapitolCity,StateCapitolHeight(feet),StateCapitolConstructionYears
,Alabama,Alabama State Capitol,"600 Dexter Avenue (capitol), 11 South Union Street (state house)",Montgomery,119,"1850–1851 (capitol), \n1885 (East wing), \n1903–1906 (South wing), \n1911–1912 (North wing), \n1960 (State House)"
,Alaska,Alaska State Capitol,120 4th Street,Juneau,118,1929–1931
,Arizona,Arizona State Capitol,1700 West Washington Street,Phoenix,92,1899–1900
,Arkansas,Arkansas State Capitol,500 Woodlane Street,Little Rock,230,1899–1915
,California,California State Capitol,1010 L Street,Sacramento,247,1860–1874
,Colorado,Colorado State Capitol,200 East Colfax Avenue,Denver,272,1886–1907
,Connecticut,Connecticut State Capitol,210 Capitol Avenue,Hartford,257,1872–1879
,Delaware,Delaware Legislative Hall,410 Legislative Avenue,Dover,70,1933-1933\n 1965-1970 (north and south wings)\n 1994 (expansion of east wings)
,Florida,Florida State Capitol,400 South Monroe Street,Tallahassee,322,1973–1977
,Georgia,Georgia State Capitol,206 Washington Street Southwest,Atlanta,272,1883–1889
,Hawaii,Hawaii State Capitol,415 South Beretania Street,Honolulu,100,1960–1969
,Idaho,Idaho State Capitol,700 West Jefferson Street,Boise,208,1905–1913\n1919–1920 (wings)\n2008–2010 (underground wings)
,Illinois,Illinois State Capitol,401 South 2nd Street,Springfield,361,1884–1887 (construction)
,Indiana,Indiana Statehouse,200 West Washington Street,Indianapolis,256,1877–1888
,Iowa,Iowa State Capitol,1007 E Grand Ave,Des Moines,275,1871–1886
,Kansas,Kansas State Capitol,300 West 10th Avenue,Topeka,326,"1866–1873 (east wing), \n1879–1881 (west wing), \n1884–1906 (center)"
,Kentucky,Kentucky State Capitol,700 Capitol Avenue,Frankfort,210,1905–1910
,Louisiana,Louisiana State Capitol,900 North Third Street,Baton Rouge,450,1930–1932
,Maine,Maine State House,210 State Street,Augusta,185,1828–1832\n 1889–1891 (wing)\n 1909–1911 (wings)
,Maryland,Maryland State House,100 State Circle,Annapolis,181,1772–1797
,Massachusetts,Massachusetts State House,24 Beacon Street,Boston,200,1795–1798
,Michigan,Michigan State Capitol,100 North Capitol Avenue,Lansing,270,1872–1878 (opened in 1879)
,Minnesota,Minnesota State Capitol,75 Rev. Martin Luther King Jr Boulevard,Saint Paul,223,1893–1905
,Mississippi,Mississippi State Capitol,400 High Street,Jackson,180,1901–1903
,Missouri,Missouri State Capitol,201 West Capitol Avenue,Jefferson City,238,1911–1917
,Montana,Montana State Capitol,1301 East 6th Avenue,Helena,165,1896–1902\n 1909–1912 (wings)
,Nebraska,Nebraska State Capitol,1445 K Street,Lincoln,400,1919–1932
,New Hampshire,New Hampshire State House,107 North Main Street,Concord,150,1815–1818
,New Jersey,New Jersey State House,125 West State Street,Trenton,145,1792-1792
,New Mexico,New Mexico State Capitol,490 Old Santa Fe Trail,Santa Fe,35,1964–1966
,Nevada,Nevada State Capitol,101 North Carson Street, StreetCarson City,120,1869�1871
,New York,New York State Capitol,State Street and Washington Avenue,Albany,220,1867–1899
,North Carolina,North Carolina State Capitol,"1 East Edenton Street (capitol), 16 West Jones Street (legislative building)",Raleigh,98,"1833-1840, \n1963 (Legislative Building)"
,North Dakota,North Dakota State Capitol,600 East Boulevard Avenue,Bismarck,242,1920–1924\n 1931–1934 (office tower & wing)
,Ohio,Ohio Statehouse,1 Capitol Square,Columbus,158,1837–1861
,Oklahoma,Oklahoma State Capitol,2300 North Lincoln Boulevard,Oklahoma City,255,1914–1917\n 2000-2002 (dome)
,Oregon,Oregon State Capitol,900 Court Street Northeast,Salem,162,1935-1935\n 1977 (wings)
,Pennsylvania,Pennsylvania State Capitol,501 North 3rd Street,Harrisburg,272,1904-1906
,Rhode Island,Rhode Island State House,82 Smith Street,Providence,223,1895–1904
,South Carolina,South Carolina State House,1100 Gervais Street,Columbia,180,1855-1907
,South Dakota,South Dakota State Capitol,500 East Capitol Avenue,Pierre,161,1905–1911
,Tennessee,Tennessee State Capitol,600 Dr. M.L.K. Jr. Boulevard,Nashville,206,1845–1859
,Texas,Texas State Capitol,1100 Congress Avenue,Austin,311,1881–1888\n1993 (underground extension)
,Utah,Utah State Capitol,350 State Street,Salt Lake City,286,1912–1916\n2004-2008 (major restoration and renovation)
,Vermont,Vermont State House,115 State Street,Montpelier,136,1834–1836
,Virginia,Virginia State Capitol,1000 Bank Street,Richmond,83,"1785–1790\n 1904–1906 (wings); restored, renovated and expanded 2004-2007"
,Washington,Washington State Capitol,416 Sid Snyder Avenue Southwest,Olympia,287,1919–1928 (Legislative building)
,West Virginia,West Virginia State Capitol,1900 Kanawha Boulevard East,Charleston,292,1924–1932
,Wisconsin,Wisconsin State Capitol,2 East Main Street,Madison,284,1906–1917\n1988-2002 (major renovation and restoration)
,Wyoming,Wyoming State Capitol,200 West 24th Street,Cheyenne,146,1886–1890\n1915–1917 (House and Senate chambers)
